; TSI reconstruction based on 'Community-Consensus TSI Composite' (Dudok de Wit et al., GRL, 2017) and SATIRE-T model (Wu et al., A&A, 2018) (with modifications to fix spurious values prior to 1650)
; Model is scaled by 0.999996 (-0.0061 W/m^2) to match TSI data record (see Kopp & Lean, GRL, 2011)
; Extended using Community-Consensus TSI Composite annual averages from 1978 onward
; Computed by Greg Kopp using 'Community-Consensus TSI Composite' on 
; Thu Jul 18 14:31:53 2019
;
; Year   TSI [W/m^2]
1610.5     1360.1856
1611.5     1360.4700
1612.5     1360.6798
1613.5     1360.9569
1614.5     1361.0877
1615.5     1361.0211
1616.5     1360.6735
1617.5     1360.3792
1618.5     1360.2902
1619.5     1360.3277
1620.5     1360.3773
1621.5     1360.3788
1622.5     1360.3783
1623.5     1360.3801
1624.5     1360.3495
1625.5     1360.4456
1626.5     1360.5186
1627.5     1360.4285
1628.5     1360.4122
1629.5     1360.4273
1630.5     1360.3466
1631.5     1360.2914
1632.5     1360.2837
1633.5     1360.3203
1634.5     1360.3345
1635.5     1360.3001
1636.5     1360.2879
1637.5     1360.2465
1638.5     1360.4751
1639.5     1360.7861
1640.5     1360.6269
1641.5     1360.3285
1642.5     1360.4316
1643.5     1360.5082
1644.5     1360.3885
1645.5     1360.3211
1646.5     1360.2750
1647.5     1360.2722
1648.5     1360.2714
1649.5     1360.2709
1650.5     1360.2706
1651.5     1360.2750
1652.5     1360.2905
1653.5     1360.4116
1654.5     1360.3536
1655.5     1360.2788
1656.5     1360.2750
1657.5     1360.2743
1658.5     1360.2740
1659.5     1360.2740
1660.5     1360.2931
1661.5     1360.3974
1662.5     1360.2837
1663.5     1360.2744
1664.5     1360.2740
1665.5     1360.2740
1666.5     1360.2740
1667.5     1360.2740
1668.5     1360.2740
1669.5     1360.2740
1670.5     1360.2740
1671.5     1360.2872
1672.5     1360.3714
1673.5     1360.2827
1674.5     1360.2741
1675.5     1360.2740
1676.5     1360.2949
1677.5     1360.5218
1678.5     1360.4161
1679.5     1360.2832
1680.5     1360.2880
1681.5     1360.3207
1682.5     1360.3106
1683.5     1360.2775
1684.5     1360.2742
1685.5     1360.2740
1686.5     1360.2740
1687.5     1360.2740
1688.5     1360.2877
1689.5     1360.3253
1690.5     1360.2770
1691.5     1360.2740
1692.5     1360.2748
1693.5     1360.2833
1694.5     1360.3016
1695.5     1360.3291
1696.5     1360.3645
1697.5     1360.4060
1698.5     1360.4514
1699.5     1360.4983
1700.5     1360.5536
1701.5     1360.6734
1702.5     1360.7311
1703.5     1360.8608
1704.5     1361.0550
1705.5     1361.2358
1706.5     1361.2116
1707.5     1361.1467
1708.5     1361.0779
1709.5     1360.9314
1710.5     1360.7490
1711.5     1360.6168
1712.5     1360.5948
1713.5     1360.6123
1714.5     1360.6612
1715.5     1360.7589
1716.5     1360.8897
1717.5     1361.0173
1718.5     1361.0718
1719.5     1360.9871
1720.5     1360.8692
1721.5     1360.8403
1722.5     1360.8596
1723.5     1360.8525
1724.5     1360.9056
1725.5     1361.0531
1726.5     1361.2593
1727.5     1361.5167
1728.5     1361.6384
1729.5     1361.4705
1730.5     1361.2124
1731.5     1361.0095
1732.5     1360.8209
1733.5     1360.6846
1734.5     1360.7190
1735.5     1360.8727
1736.5     1361.1208
1737.5     1361.3200
1738.5     1361.4640
1739.5     1361.5594
1740.5     1361.4427
1741.5     1361.1851
1742.5     1360.9059
1743.5     1360.7369
1744.5     1360.6324
1745.5     1360.6165
1746.5     1360.7201
1747.5     1360.8959
1748.5     1361.0988
1749.5     1361.2335
1750.5     1361.4649
1751.5     1361.3138
1752.5     1361.0908
1753.5     1360.9975
1754.5     1360.7565
1755.5     1360.6562
1756.5     1360.6671
1757.5     1360.7414
1758.5     1361.0029
1759.5     1361.0753
1760.5     1361.2069
1761.5     1361.2972
1762.5     1361.2650
1763.5     1361.1508
1764.5     1361.0930
1765.5     1360.9598
1766.5     1360.9442
1767.5     1361.0685
1768.5     1361.3420
1769.5     1361.5476
1770.5     1361.7530
1771.5     1361.5262
1772.5     1361.3462
1773.5     1361.0441
1774.5     1360.9785
1775.5     1360.9037
1776.5     1361.0832
1777.5     1361.3949
1778.5     1362.0953
1779.5     1362.2204
1780.5     1362.0220
1781.5     1361.7243
1782.5     1361.4190
1783.5     1361.2110
1784.5     1361.0623
1785.5     1361.1109
1786.5     1361.3189
1787.5     1361.7002
1788.5     1361.9834
1789.5     1361.8635
1790.5     1361.8095
1791.5     1361.5348
1792.5     1361.3774
1793.5     1361.2380
1794.5     1361.0443
1795.5     1360.9135
1796.5     1360.7445
1797.5     1360.5997
1798.5     1360.5179
1799.5     1360.5389
1800.5     1360.5496
1801.5     1360.7116
1802.5     1360.8725
1803.5     1360.8982
1804.5     1360.9220
1805.5     1360.9842
1806.5     1360.8822
1807.5     1360.7678
1808.5     1360.6554
1809.5     1360.6530
1810.5     1360.5901
1811.5     1360.5955
1812.5     1360.6197
1813.5     1360.6640
1814.5     1360.7226
1815.5     1360.7703
1816.5     1360.9684
1817.5     1360.9511
1818.5     1360.8582
1819.5     1360.7555
1820.5     1360.7089
1821.5     1360.5598
1822.5     1360.5003
1823.5     1360.4454
1824.5     1360.5170
1825.5     1360.6014
1826.5     1360.7331
1827.5     1360.9801
1828.5     1361.1005
1829.5     1361.1692
1830.5     1361.1863
1831.5     1361.2230
1832.5     1361.1073
1833.5     1361.0124
1834.5     1361.0475
1835.5     1361.2486
1836.5     1361.6779
1837.5     1362.0100
1838.5     1361.9534
1839.5     1361.6474
1840.5     1361.5464
1841.5     1361.2698
1842.5     1361.0567
1843.5     1360.9997
1844.5     1361.0225
1845.5     1361.2034
1846.5     1361.4080
1847.5     1361.4796
1848.5     1361.8721
1849.5     1361.9142
1850.5     1361.7005
1851.5     1361.5037
1852.5     1361.4177
1853.5     1361.2921
1854.5     1361.0975
1855.5     1360.9770
1856.5     1360.8772
1857.5     1360.9499
1858.5     1361.1913
1859.5     1361.4779
1860.5     1361.6335
1861.5     1361.6242
1862.5     1361.4956
1863.5     1361.3489
1864.5     1361.2972
1865.5     1361.2800
1866.5     1361.1589
1867.5     1361.0301
